,song,artist,album,duration,date,date_album,explicit,popularity,adalaber,imagen,url_cancion,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,La vereda de la puerta de atrás,Extremoduro,"Yo, Minoría Absoluta",243320,2022-07-12T09:08:16Z,2002-03-01,False,62,user1,https://i.scdn.co/image/ab67616d0000b2737d95383aa4544f540f26c513,https://open.spotify.com/track/4kJP8Z888wREJ8bRMWNMuk,spotify:track:4kJP8Z888wREJ8bRMWNMuk,0.403,0.893,9,-2.735,0,0.0474,0.437,0.000173,0.11,0.527,141.194
1,La molinera,La Maravillosa Orquesta del Alcohol,Nuevo Cancionero Burgalés,166359,2022-07-12T09:08:32Z,2021-12-17,False,44,user1,https://i.scdn.co/image/ab67616d0000b2732c98f75ac47019523948a54f,https://open.spotify.com/track/505xdNAPS23sCjcsSyDjkN,spotify:track:505xdNAPS23sCjcsSyDjkN,0.424,0.476,0,-7.516,1,0.0362,0.605,1.64e-06,0.359,0.669,115.921
2,Mes de mayo,La Maravillosa Orquesta del Alcohol,Nuevo Cancionero Burgalés,149915,2022-07-12T09:08:37Z,2021-12-17,False,42,user1,https://i.scdn.co/image/ab67616d0000b2732c98f75ac47019523948a54f,https://open.spotify.com/track/5NC544ZW2nMWmb2K45F798,spotify:track:5NC544ZW2nMWmb2K45F798,0.632,0.484,7,-7.747,1,0.0263,0.44,1.93e-05,0.287,0.397,123.516
3,Si Quieres,Cariño,Si Quieres,167044,2022-07-12T09:21:05Z,2021-12-15,False,56,user1,https://i.scdn.co/image/ab67616d0000b27393e0aa1fb06f339317ba4a89,https://open.spotify.com/track/4eus2M68qtL8u8MWHHaxGG,spotify:track:4eus2M68qtL8u8MWHHaxGG,0.511,0.846,11,-3.803,1,0.0992,0.000866,0.000539,0.122,0.963,190.123
4,Tighten Up,The Black Keys,Brothers (Deluxe Edition),211040,2022-07-12T10:16:20Z,2010-05-18,False,0,user2,https://i.scdn.co/image/ab67616d0000b2733ef96926eb357b5c5bae803e,https://open.spotify.com/track/77KdcSx54OXNKvn6vMFCod,spotify:track:77KdcSx54OXNKvn6vMFCod,0.528,0.7,6,-6.103,0,0.0721,0.00136,5.14e-06,0.439,0.634,108.979
5,What You Know,Two Door Cinema Club,Tourist History,191426,2022-07-12T10:16:30Z,2010-04-27,False,57,user2,https://i.scdn.co/image/ab67616d0000b2733b38d380de72fd8b55a5fc2e,https://open.spotify.com/track/0oEweHsuQagFuqXct9UvBm,spotify:track:0oEweHsuQagFuqXct9UvBm,0.549,0.755,6,-3.991,0,0.0403,0.000741,6.06e-06,0.0786,0.818,139.034
6,"Hold On, We're Going Home","['Drake', 'Majid Jordan']",Nothing Was The Same (Deluxe),227880,2022-07-12T10:17:13Z,2013-01-01,False,73,user2,https://i.scdn.co/image/ab67616d0000b273adfb5909ec66db5fbb4d06c8,https://open.spotify.com/track/6jdOi5U5LBzQrc4c1VT983,spotify:track:6jdOi5U5LBzQrc4c1VT983,0.773,0.414,6,-7.436,0,0.0961,0.00411,3.4e-05,0.0733,0.289,99.993
7,Una Persona Sospechosa,Los Punsetes,Aniquilación,163266,2022-07-18T06:26:59Z,2019-10-04,False,41,user3,https://i.scdn.co/image/ab67616d0000b273f89b2adcea8d0d68f59bcceb,https://open.spotify.com/track/03N3GfcATqhDRFqyfftGdu,spotify:track:03N3GfcATqhDRFqyfftGdu,0.522,0.943,0,-3.762,1,0.118,0.00437,0.00766,0.109,0.534,172.08
8,La Revolución Sexual,La Casa Azul,La Revolución Sexual,274160,2022-07-18T06:29:48Z,2007-11-03,False,58,user3,https://i.scdn.co/image/ab67616d0000b273fead9af722d0862748c48293,https://open.spotify.com/track/5zHvsFZoCzLmhbRbYDkg42,spotify:track:5zHvsFZoCzLmhbRbYDkg42,0.686,0.877,0,-5.201,1,0.0373,0.00254,0.000977,0.0791,0.396,117.01
9,Lime Scurvy,El Pony Pisador,Matricular una galera,279280,2022-07-23T10:49:45Z,2019-12-13,False,18,user3,https://i.scdn.co/image/ab67616d0000b273e0d9fe2ccead119dcccca8db,https://open.spotify.com/track/08F38cMAF5bkAZNztO1JPm,spotify:track:08F38cMAF5bkAZNztO1JPm,0.404,0.829,2,-8.479,1,0.0427,0.0488,0.00329,0.038,0.962,142.059
